settlement_id,payment_id,settled_amount,fee_amount,currency,settlement_date,status
SET9036,PAY5036,1499.0,0.0,INR,2026-08-28,settled
SET9038,PAY5038,1499.0,0.0,INR,2026-08-13,settled
SET9039,PAY5039,5999.0,0.0,INR,2026-08-18,settled
SET9040,PAY5040,2499.0,0.0,INR,2026-08-28,settled
SET9041,PAY5041,1999.0,0.0,INR,2026-08-04,settled
SET9042,PAY5042,2499.0,0.0,INR,2026-08-06,settled
SET9043,PAY5043,9999.0,0.0,INR,2026-08-04,settled
SET9044,PAY5044,1499.0,0.0,INR,2026-08-26,settled
SET9045,PAY5045,3919.02,79.98,INR,2026-08-30,settled
SET9046,PAY5046,999.0,0.0,INR,2026-08-22,settled
SET9047,PAY5047,1299.0,0.0,INR,2026-08-23,settled
SET9048,PAY5048,2499.0,0.0,INR,2026-08-09,settled
SET9049,PAY5049,5999.0,0.0,INR,2026-08-08,settled
SET9050,PAY5050,2499.0,0.0,INR,2026-08-23,settled
SET9051,PAY5051,5999.0,0.0,INR,2026-08-06,settled
SET9052,PAY5052,9999.0,0.0,INR,2026-08-05,settled
SET9054,PAY5054,4999.0,0.0,INR,2026-08-28,settled
SET9055,PAY5055,4999.0,0.0,INR,2026-08-03,settled
SET9056,PAY5056,1499.0,0.0,INR,2026-08-23,settled
SET9057,PAY5057,2499.0,0.0,INR,2026-08-26,settled
SET9058,PAY5058,3999.0,0.0,INR,2026-08-31,settled
SET9059,PAY5059,499.0,0.0,INR,2026-08-05,settled
SET9060,PAY5060,1499.0,0.0,INR,2026-08-10,settled
SET9061,PAY5061,1499.0,0.0,INR,2026-08-06,settled
SET9062,PAY5062,1273.02,25.98,INR,2026-08-08,settled
SET9063,PAY5063,2499.0,0.0,INR,2026-08-04,settled
SET9064,PAY5064,4999.0,0.0,INR,2026-08-28,settled
SET9065,PAY5065,4999.0,0.0,INR,2026-08-18,settled
SET9066,PAY5066,5999.0,0.0,INR,2026-08-17,settled
SET9067,PAY5067,1999.0,0.0,INR,2026-08-05,settled
SET9068,PAY5068,2999.0,0.0,INR,2026-08-06,settled
SET9069,PAY5069,2939.02,59.98,INR,2026-08-19,settled
SET9070,PAY5070,2999.0,0.0,INR,2026-08-10,settled
SET9071,PAY5071,5999.0,0.0,INR,2026-08-28,settled
SET9072,PAY5072,1299.0,0.0,INR,2026-08-08,settled
SET9073,PAY5073,3999.0,0.0,INR,2026-08-08,settled
SET9074,PAY5074,2999.0,0.0,INR,2026-08-13,settled
SET9075,PAY5075,9799.0,0.0,INR,2026-08-15,settled
SET9076,PAY5076,5899.0,0.0,INR,2026-08-05,settled
SET9077,PAY5077,1499.0,0.0,INR,2026-08-03,settled
SET9078,PAY5078,3999.0,0.0,INR,2026-08-12,settled
SET9079,PAY5079,5999.0,0.0,INR,2026-08-03,settled
SET9080,PAY5080,5999.0,0.0,INR,2026-08-10,settled
SET9081,PAY5081,4999.0,0.0,INR,2026-08-10,settled
SET9082,PAY5082,1999.0,0.0,INR,2026-08-04,settled
SET9084,PAY5084,1299.0,0.0,INR,2026-08-10,settled
SET9085,PAY5085,5879.02,119.98,INR,2026-08-11,settled
SET9087,PAY5087,1299.0,0.0,INR,2026-08-15,settled
SET9088,PAY5088,1299.0,0.0,INR,2026-08-04,settled
SET9090,PAY5090,499.0,0.0,INR,2026-08-13,settled
SET9091,PAY5091,499.0,0.0,INR,2026-08-06,settled
SET9092,PAY5092,1299.0,0.0,INR,2026-08-22,settled
SET9093,PAY5093,2999.0,0.0,INR,2026-08-04,settled
SET9094,PAY5094,4999.0,0.0,INR,2026-08-15,settled
SET9095,PAY5095,799.0,0.0,INR,2026-08-18,settled
SET9096,PAY5096,2999.0,0.0,INR,2026-08-30,settled
SET9097,PAY5097,2499.0,0.0,INR,2026-08-28,settled
SET9098,PAY5098,5799.0,0.0,INR,2026-08-12,settled
SET9099,PAY5099,9799.02,199.98,INR,2026-08-19,settled
SET9100,PAY5100,9999.0,0.0,INR,2026-08-17,settled
SET9101,PAY5101,2499.0,0.0,INR,2026-08-17,settled
SET9102,PAY5102,2999.0,0.0,INR,2026-08-21,settled
SET9103,PAY5103,2499.0,0.0,INR,2026-08-17,settled
SET9104,PAY5104,1299.0,0.0,INR,2026-08-13,settled
SET9105,PAY5105,999.0,0.0,INR,2026-08-25,settled
SET9106,PAY5106,5999.0,0.0,INR,2026-08-13,settled
SET9107,PAY5107,9999.0,0.0,INR,2026-08-19,settled
SET9108,PAY5108,489.02,9.98,INR,2026-08-18,settled
SET9109,PAY5109,799.0,0.0,INR,2026-08-14,settled
SET9110,PAY5110,2499.0,0.0,INR,2026-09-01,settled
SET9111,PAY5111,1299.0,0.0,INR,2026-08-14,settled
SET9112,PAY5112,979.02,19.98,INR,2026-08-08,settled
SET9113,PAY5113,9999.0,0.0,INR,2026-08-28,settled
SET9114,PAY5114,3999.0,0.0,INR,2026-08-08,settled
SET9115,PAY5115,2999.0,0.0,INR,2026-08-30,settled
SET9116,PAY5116,249.5,0.0,INR,2026-09-01,settled
SET9118,PAY5118,1299.0,0.0,INR,2026-08-24,settled
SET9119,PAY5119,799.0,0.0,INR,2026-08-28,settled
SET9120,PAY5120,2999.0,0.0,INR,2026-08-14,settled
SET9121,PAY5121,999.0,0.0,INR,2026-08-09,settled
SET9122,PAY5122,2999.0,0.0,INR,2026-08-13,settled
SET9123,PAY5123,2999.5,0.0,INR,2026-08-23,settled
SET9124,PAY5124,3999.0,0.0,INR,2026-08-31,settled
SET9125,PAY5125,3999.0,0.0,INR,2026-08-30,settled
SET9126,PAY5126,4699.0,0.0,INR,2026-08-21,settled
SET9127,PAY5127,2999.0,0.0,INR,2026-08-29,settled
SET9128,PAY5128,4999.0,0.0,INR,2026-08-16,settled
SET9129,PAY5129,9999.0,0.0,INR,2026-08-22,settled
SET9130,PAY5130,3999.0,0.0,INR,2026-08-30,settled
SET9131,PAY5131,2499.0,0.0,INR,2026-08-06,settled
SET9132,PAY5132,3999.0,0.0,INR,2026-08-11,settled
SET9133,PAY5133,2999.0,0.0,INR,2026-08-18,settled
SET9134,PAY5134,499.5,0.0,INR,2026-08-23,settled
SET9135,PAY5135,9999.0,0.0,INR,2026-08-29,settled
SET9136,PAY5136,2999.0,0.0,INR,2026-08-06,settled
SET9137,PAY5137,2999.0,0.0,INR,2026-08-15,settled
SET9138,PAY5138,1499.0,0.0,INR,2026-08-11,settled
SET9139,PAY5139,1299.0,0.0,INR,2026-08-25,settled
SET9140,PAY5140,5999.0,0.0,INR,2026-09-01,settled
SET9141,PAY5141,1499.0,0.0,INR,2026-08-10,settled
SET9142,PAY5142,3999.0,0.0,INR,2026-08-18,settled
SET9143,PAY5143,2999.0,0.0,INR,2026-08-12,settled
SET9144,PAY5144,5999.0,0.0,INR,2026-08-07,settled
SET9145,PAY5145,1299.0,0.0,INR,2026-08-08,settled
SET9146,PAY5146,1499.0,0.0,INR,2026-08-28,settled
SET9147,PAY5147,2899.0,0.0,INR,2026-08-19,settled
SET9148,PAY5148,9999.0,0.0,INR,2026-08-24,settled
SET9149,PAY5149,1499.0,0.0,INR,2026-08-10,settled
SET9150,PAY5150,1299.0,0.0,INR,2026-08-16,settled
SET9151,PAY5151,1499.0,0.0,INR,2026-08-25,settled
SET9152,PAY5152,1999.0,0.0,INR,2026-08-14,settled
SET9154,PAY5154,3999.0,0.0,INR,2026-08-19,settled
SET9155,PAY5155,799.0,0.0,INR,2026-08-13,settled
SET9156,PAY5156,999.0,0.0,INR,2026-08-31,settled
SET9157,PAY5157,999.0,0.0,INR,2026-08-14,settled
SET9158,PAY5158,1299.0,0.0,INR,2026-08-14,settled
SET9159,PAY5159,2499.0,0.0,INR,2026-08-03,settled
SET9160,PAY5160,9999.0,0.0,INR,2026-08-17,settled
SET9161,PAY5161,999.0,0.0,INR,2026-08-19,settled
SET9162,PAY5162,9999.0,0.0,INR,2026-08-25,settled
SET9163,PAY5163,1299.0,0.0,INR,2026-08-12,settled
SET9164,PAY5164,799.0,0.0,INR,2026-08-11,settled
SET9165,PAY5165,2499.0,0.0,INR,2026-09-02,settled
SET9166,PAY5166,2499.0,0.0,INR,2026-08-09,settled
SET9167,PAY5167,1999.0,0.0,INR,2026-08-17,settled
SET9168,PAY5168,3999.0,0.0,INR,2026-08-05,settled
SET9169,PAY5169,2939.02,59.98,INR,2026-08-26,settled
SET9170,PAY5170,2449.02,49.98,INR,2026-08-26,settled
SET9171,PAY5171,499.0,0.0,INR,2026-08-26,settled
SET9172,PAY5172,1299.0,0.0,INR,2026-08-31,settled
SET9173,PAY5173,1999.0,0.0,INR,2026-08-30,settled
SET9174,PAY5174,4999.0,0.0,INR,2026-08-30,settled
SET9175,PAY5175,9999.0,0.0,INR,2026-08-13,settled
SET9176,PAY5176,499.0,0.0,INR,2026-08-17,settled
SET9177,PAY5177,4999.0,0.0,INR,2026-08-05,settled
SET9178,PAY5178,2499.0,0.0,INR,2026-08-13,settled
SET9179,PAY5179,2939.02,59.98,INR,2026-08-14,settled
SET9180,PAY5180,499.0,0.0,INR,2026-08-24,settled
SET9181,PAY5181,1999.0,0.0,INR,2026-08-16,settled
SET9182,PAY5182,1499.0,0.0,INR,2026-08-14,settled
SET9183,PAY5183,2499.0,0.0,INR,2026-08-12,settled
SET9184,PAY5184,2499.0,0.0,INR,2026-08-15,settled
SET9185,PAY5185,3799.0,0.0,INR,2026-08-17,settled
SET9186,PAY5186,2999.0,0.0,INR,2026-08-24,settled
SET9187,PAY5187,1299.0,0.0,INR,2026-08-16,settled
SET9188,PAY5188,749.5,0.0,INR,2026-08-04,settled
SET9189,PAY5189,2499.0,0.0,INR,2026-08-04,settled
SET9190,PAY5190,2999.0,0.0,INR,2026-08-30,settled
SET9191,PAY5191,499.0,0.0,INR,2026-08-18,settled
SET9192,PAY5192,2499.0,0.0,INR,2026-08-28,settled
SET9193,PAY5193,1999.0,0.0,INR,2026-09-02,settled
SET9194,PAY5194,5999.0,0.0,INR,2026-08-25,settled
SET9195,PAY5195,5999.0,0.0,INR,2026-08-10,settled
SET9196,PAY5196,2499.0,0.0,INR,2026-08-22,settled
SET9197,PAY5197,9999.0,0.0,INR,2026-08-18,settled
SET9198,PAY5198,999.0,0.0,INR,2026-08-27,settled
SET9199,PAY5199,2999.0,0.0,INR,2026-08-25,settled
SET9200,PAY5200,899.0,0.0,INR,2026-08-27,settled
SET9201,PAY5201,2499.0,0.0,INR,2026-08-29,settled
SET9202,PAY5202,4999.0,0.0,INR,2026-08-26,settled
SET9203,PAY5203,4899.02,99.98,INR,2026-08-14,settled
SET9204,PAY_UNMATCHED_204,5999.0,0.0,INR,2026-08-22,settled
SET9205,PAY5205,499.0,0.0,INR,2026-08-25,settled
SET9206,PAY_UNMATCHED_206,799.0,0.0,INR,2026-08-17,settled
SET9207,PAY5207,5999.0,0.0,INR,2026-08-25,settled
SET9208,PAY5208,2499.0,0.0,INR,2026-09-01,settled
SET9209,PAY5209,999.0,0.0,INR,2026-08-16,settled
SET9210,PAY5210,2999.0,0.0,INR,2026-08-27,settled
SET9211,PAY5211,999.0,0.0,INR,2026-08-31,settled
SET9212,PAY5212,489.02,9.98,INR,2026-08-24,settled
SET9214,PAY5214,2499.0,0.0,INR,2026-08-14,settled
SET9215,PAY_UNMATCHED_215,1999.0,0.0,INR,2026-08-05,settled
SET9216,PAY5216,1273.02,25.98,INR,2026-08-21,settled
SET9217,PAY5217,2999.0,0.0,INR,2026-08-10,settled
SET9218,PAY5218,1999.0,0.0,INR,2026-08-07,settled
SET9220,PAY5220,2499.0,0.0,INR,2026-08-10,settled
SET9221,PAY5221,1499.0,0.0,INR,2026-08-22,settled
SET9222,PAY5222,2499.0,0.0,INR,2026-08-28,settled
SET9223,PAY5223,1499.0,0.0,INR,2026-08-26,settled
SET9224,PAY5224,799.0,0.0,INR,2026-08-16,settled
SET9225,PAY5225,2999.0,0.0,INR,2026-08-07,settled
SET9226,PAY5226,249.5,0.0,INR,2026-08-05,settled
SET9227,PAY5227,9999.0,0.0,INR,2026-08-23,settled
SET9228,PAY5228,3999.0,0.0,INR,2026-08-13,settled
SET9229,PAY5229,499.0,0.0,INR,2026-08-14,settled
SET9230,PAY5230,1999.0,0.0,INR,2026-08-03,settled
SET9231,PAY5231,649.5,0.0,INR,2026-08-29,settled
SET9232,PAY5232,5899.0,0.0,INR,2026-08-31,settled
SET9233,PAY5233,5999.0,0.0,INR,2026-08-25,settled
SET9234,PAY5234,399.0,0.0,INR,2026-08-26,settled
SET9235,PAY5235,1299.0,0.0,INR,2026-08-17,settled
SET9236,PAY5236,1273.02,25.98,INR,2026-08-16,settled
SET9237,PAY5237,499.0,0.0,INR,2026-08-05,settled
SET9238,PAY5238,4999.0,0.0,INR,2026-08-16,settled
SET9239,PAY5239,999.0,0.0,INR,2026-08-13,settled
SET9240,PAY5240,1299.0,0.0,INR,2026-08-09,settled
SET9241,PAY5241,499.0,0.0,INR,2026-08-17,settled
SET9242,PAY5242,5999.0,0.0,INR,2026-08-09,settled
SET9243,PAY5243,799.0,0.0,INR,2026-08-11,settled
SET9244,PAY5244,4999.0,0.0,INR,2026-08-20,settled
SET9245,PAY5245,1299.0,0.0,INR,2026-08-15,settled
SET9246,PAY5246,2999.0,0.0,INR,2026-08-17,settled
SET9247,PAY5247,9999.0,0.0,INR,2026-08-06,settled
SET9248,PAY5248,749.5,0.0,INR,2026-08-22,settled
SET9249,PAY5249,1999.0,0.0,INR,2026-08-22,settled
SET9250,PAY5250,999.0,0.0,INR,2026-08-15,settled
SET9251,PAY5251,4999.0,0.0,INR,2026-08-08,settled
SET9252,PAY5252,4899.0,0.0,INR,2026-08-30,settled
SET9253,PAY5253,499.5,0.0,INR,2026-08-25,settled
SET9254,PAY_UNMATCHED_254,1499.0,0.0,INR,2026-08-09,settled
SET9255,PAY5255,799.0,0.0,INR,2026-08-08,settled
SET9256,PAY5256,4999.0,0.0,INR,2026-08-25,settled
SET9257,PAY5257,499.0,0.0,INR,2026-08-29,settled
SET9259,PAY5259,4999.0,0.0,INR,2026-08-16,settled
SET9260,PAY5260,5999.0,0.0,INR,2026-08-14,settled
SET9261,PAY5261,2499.0,0.0,INR,2026-08-29,settled
SET9262,PAY5262,2449.02,49.98,INR,2026-08-16,settled
SET9263,PAY5263,9999.0,0.0,INR,2026-08-25,settled
SET9264,PAY5264,1299.0,0.0,INR,2026-08-04,settled
SET9265,PAY5265,799.0,0.0,INR,2026-08-30,settled
SET9266,PAY5266,4799.0,0.0,INR,2026-08-31,settled
SET9267,PAY5267,799.0,0.0,INR,2026-08-10,settled
SET9268,PAY5268,9999.0,0.0,INR,2026-08-10,settled
SET9269,PAY5269,1469.02,29.98,INR,2026-08-04,settled
SET9270,PAY5270,5999.0,0.0,INR,2026-08-31,settled
SET9271,PAY5271,4999.0,0.0,INR,2026-08-23,settled
SET9272,PAY5272,799.0,0.0,INR,2026-08-20,settled
SET9273,PAY5273,4999.0,0.0,INR,2026-09-01,settled
SET9274,PAY5274,499.0,0.0,INR,2026-08-28,settled
SET9275,PAY5275,1999.0,0.0,INR,2026-08-26,settled
SET9276,PAY5276,3999.0,0.0,INR,2026-08-24,settled
SET9277,PAY5277,2499.0,0.0,INR,2026-08-06,settled
SET9278,PAY5278,5999.0,0.0,INR,2026-08-18,settled
SET9279,PAY5279,1999.0,0.0,INR,2026-08-29,settled
SET9280,PAY5280,799.0,0.0,INR,2026-08-29,settled
SET9281,PAY5281,3999.0,0.0,INR,2026-08-14,settled
SET9282,PAY5282,5999.0,0.0,INR,2026-08-07,settled
SET9283,PAY5283,1999.0,0.0,INR,2026-08-12,settled
SET9284,PAY5284,489.02,9.98,INR,2026-08-07,settled
SET9285,PAY5285,2499.0,0.0,INR,2026-08-09,settled
SET9286,PAY5286,2999.0,0.0,INR,2026-08-21,settled
SET9287,PAY5287,799.0,0.0,INR,2026-08-23,settled
SET9288,PAY5288,2499.0,0.0,INR,2026-09-01,settled
SET9289,PAY5289,1999.0,0.0,INR,2026-08-10,settled
SET9290,PAY5290,5999.0,0.0,INR,2026-08-30,settled
SET9291,PAY5291,2999.0,0.0,INR,2026-08-23,settled
SET9292,PAY5292,9999.0,0.0,INR,2026-09-01,settled
SET9293,PAY5293,999.0,0.0,INR,2026-08-15,settled
SET9294,PAY5294,2299.0,0.0,INR,2026-08-19,settled
SET9295,PAY5295,9999.0,0.0,INR,2026-08-22,settled
SET9296,PAY5296,3999.0,0.0,INR,2026-08-07,settled
SET9297,PAY5297,5699.0,0.0,INR,2026-08-19,settled
SET9298,PAY5298,4899.02,99.98,INR,2026-08-30,settled
SET9299,PAY5299,3999.0,0.0,INR,2026-09-01,settled
SET9300,PAY5300,2999.0,0.0,INR,2026-08-23,settled
SET9301,PAY5301,2999.0,0.0,INR,2026-08-08,settled
SET9302,PAY5302,2499.0,0.0,INR,2026-08-31,settled
SET9303,PAY5303,9999.0,0.0,INR,2026-09-01,settled
SET9304,PAY5304,4999.0,0.0,INR,2026-08-11,settled
SET9305,PAY5305,1499.0,0.0,INR,2026-08-27,settled
SET9306,PAY5306,1999.0,0.0,INR,2026-08-14,settled
SET9307,PAY5307,1299.0,0.0,INR,2026-08-06,settled
SET9308,PAY5308,799.0,0.0,INR,2026-08-27,settled
SET9309,PAY5309,1499.0,0.0,INR,2026-08-30,settled
SET9310,PAY5310,2999.0,0.0,INR,2026-08-22,settled
SET9311,PAY5311,1299.0,0.0,INR,2026-08-25,settled
SET9312,PAY5312,2999.0,0.0,INR,2026-08-08,settled
SET9313,PAY5313,4999.0,0.0,INR,2026-08-22,settled
SET9314,PAY5314,4999.0,0.0,INR,2026-08-11,settled
SET9315,PAY5315,5999.0,0.0,INR,2026-08-12,settled
SET9316,PAY5316,2449.02,49.98,INR,2026-08-10,settled
SET9317,PAY5317,1999.0,0.0,INR,2026-09-03,settled
SET9318,PAY5318,499.0,0.0,INR,2026-08-26,settled
SET9319,PAY5319,2999.0,0.0,INR,2026-08-30,settled
SET9320,PAY5320,1999.0,0.0,INR,2026-08-18,settled
SET9321,PAY5321,999.0,0.0,INR,2026-08-17,settled
SET9322,PAY5322,2999.0,0.0,INR,2026-08-06,settled
SET9324,PAY5324,1999.0,0.0,INR,2026-09-01,settled
SET9325,PAY5325,1499.0,0.0,INR,2026-08-04,settled
SET9326,PAY5326,1999.0,0.0,INR,2026-08-18,settled
SET9327,PAY5327,1499.0,0.0,INR,2026-08-24,settled
SET9329,PAY_UNMATCHED_329,9999.0,0.0,INR,2026-08-24,settled
SET9330,PAY5330,1499.0,0.0,INR,2026-08-16,settled
SET9331,PAY5331,3999.0,0.0,INR,2026-08-07,settled
SET9332,PAY5332,299.0,0.0,INR,2026-08-07,settled
SET9334,PAY5334,1299.0,0.0,INR,2026-08-09,settled
SET9335,PAY5335,9999.0,0.0,INR,2026-08-22,settled
SET9336,PAY5336,2499.0,0.0,INR,2026-08-30,settled
SET9337,PAY5337,2999.0,0.0,INR,2026-08-28,settled
SET9338,PAY5338,3999.0,0.0,INR,2026-08-03,settled
SET9339,PAY5339,1299.0,0.0,INR,2026-08-26,settled
SET9340,PAY5340,9499.0,0.0,INR,2026-08-17,settled
SET9341,PAY5341,5999.0,0.0,INR,2026-08-28,settled
SET9342,PAY5342,9999.0,0.0,INR,2026-08-09,settled
SET9343,PAY5343,2999.0,0.0,INR,2026-08-11,settled
SET9344,PAY5344,2999.0,0.0,INR,2026-08-16,settled
SET9345,PAY5345,249.5,0.0,INR,2026-08-24,settled
SET9346,PAY5346,799.0,0.0,INR,2026-08-25,settled
SET9348,PAY5348,1299.0,0.0,INR,2026-08-28,settled
SET9349,PAY5349,2499.0,0.0,INR,2026-09-01,settled
SET9350,PAY5350,9999.0,0.0,INR,2026-08-21,settled
SET9351,PAY5351,1299.0,0.0,INR,2026-08-09,settled
SET9352,PAY5352,1499.0,0.0,INR,2026-08-27,settled
SET9353,PAY5353,5999.0,0.0,INR,2026-08-13,settled
SET9354,PAY5354,4999.0,0.0,INR,2026-08-23,settled
SET9355,PAY5355,1959.02,39.98,INR,2026-08-06,settled
SET9357,PAY5357,3999.0,0.0,INR,2026-08-25,settled
SET9358,PAY5358,3999.0,0.0,INR,2026-08-24,settled
SET9359,PAY5359,1999.0,0.0,INR,2026-08-13,settled
SET9360,PAY5360,2499.0,0.0,INR,2026-08-28,settled
SET9361,PAY5361,9999.0,0.0,INR,2026-08-08,settled
SET9362,PAY5362,3999.0,0.0,INR,2026-08-25,settled
SET9363,PAY5363,1999.0,0.0,INR,2026-08-29,settled
SET9364,PAY5364,1999.0,0.0,INR,2026-08-09,settled
SET9365,PAY_UNMATCHED_365,9999.0,0.0,INR,2026-08-30,settled
SET9367,PAY5367,1499.0,0.0,INR,2026-08-27,settled
SET9368,PAY5368,1499.0,0.0,INR,2026-08-21,settled
SET9369,PAY5369,1499.0,0.0,INR,2026-08-21,settled
SET9370,PAY5370,1299.0,0.0,INR,2026-08-31,settled
SET9371,PAY5371,799.0,0.0,INR,2026-08-29,settled
SET9372,PAY5372,9999.0,0.0,INR,2026-08-27,settled
SET9373,PAY5373,1273.02,25.98,INR,2026-08-25,settled
SET9374,PAY5374,1959.02,39.98,INR,2026-08-05,settled
SET9375,PAY5375,799.0,0.0,INR,2026-08-29,settled
SET9376,PAY5376,9999.0,0.0,INR,2026-08-16,settled
SET9377,PAY5377,3999.0,0.0,INR,2026-08-19,settled
SET9378,PAY5378,9999.0,0.0,INR,2026-08-22,settled
SET9379,PAY5379,999.0,0.0,INR,2026-08-12,settled
SET9380,PAY5380,1299.0,0.0,INR,2026-08-07,settled
SET9381,PAY5381,1299.0,0.0,INR,2026-08-11,settled
SET9382,PAY5382,4999.5,0.0,INR,2026-08-17,settled
SET9383,PAY5383,2999.0,0.0,INR,2026-08-24,settled
SET9384,PAY5384,1499.0,0.0,INR,2026-08-20,settled
SET9385,PAY5385,9999.0,0.0,INR,2026-08-05,settled
SET9386,PAY5386,4999.0,0.0,INR,2026-08-10,settled
SET9387,PAY5387,3999.0,0.0,INR,2026-08-24,settled
SET9388,PAY5388,4999.0,0.0,INR,2026-08-20,settled
SET9389,PAY5389,1499.0,0.0,INR,2026-08-10,settled
SET9390,PAY_UNMATCHED_390,799.0,0.0,INR,2026-08-06,settled
SET9391,PAY5391,1299.0,0.0,INR,2026-08-16,settled
SET9392,PAY5392,1499.0,0.0,INR,2026-08-27,settled
SET9393,PAY5393,1299.0,0.0,INR,2026-08-15,settled
SET9394,PAY5394,1799.0,0.0,INR,2026-08-26,settled
SET9395,PAY_UNMATCHED_395,1499.0,0.0,INR,2026-08-11,settled
SET9397,PAY5397,9999.0,0.0,INR,2026-08-17,settled
SET9398,PAY5398,3999.0,0.0,INR,2026-08-11,settled
SET9399,PAY5399,699.0,0.0,INR,2026-08-12,settled
SET9400,PAY5400,499.0,0.0,INR,2026-08-22,settled
SET9401,PAY5401,499.0,0.0,INR,2026-08-29,settled
SET9402,PAY5402,3999.0,0.0,INR,2026-08-24,settled
SET9403,PAY5403,1499.0,0.0,INR,2026-08-06,settled
SET9404,PAY5404,9999.0,0.0,INR,2026-08-25,settled
SET9405,PAY5405,999.0,0.0,INR,2026-08-29,settled
SET9406,PAY5406,5999.0,0.0,INR,2026-08-24,settled
SET9407,PAY5407,2999.0,0.0,INR,2026-08-28,settled
SET9408,PAY5408,799.0,0.0,INR,2026-08-13,settled
SET9409,PAY5409,499.0,0.0,INR,2026-08-06,settled
SET9410,PAY5410,4999.0,0.0,INR,2026-08-09,settled
SET9411,PAY5411,1499.0,0.0,INR,2026-08-11,settled
SET9412,PAY5412,2999.0,0.0,INR,2026-09-03,settled
SET9413,PAY5413,2999.0,0.0,INR,2026-08-04,settled
SET9414,PAY5414,2999.0,0.0,INR,2026-08-15,settled
SET9415,PAY5415,1999.0,0.0,INR,2026-08-04,settled
SET9416,PAY5416,999.0,0.0,INR,2026-08-22,settled
SET9417,PAY5417,249.5,0.0,INR,2026-08-24,settled
SET9419,PAY5419,2999.0,0.0,INR,2026-08-19,settled
SET9420,PAY5420,783.02,15.98,INR,2026-08-30,settled
SET9421,PAY5421,799.0,0.0,INR,2026-08-24,settled
SET9422,PAY5422,2499.0,0.0,INR,2026-08-23,settled
SET9423,PAY5423,2999.0,0.0,INR,2026-08-10,settled
SET9424,PAY5424,799.0,0.0,INR,2026-08-12,settled
SET9425,PAY5425,4999.0,0.0,INR,2026-08-27,settled
SET9426,PAY5426,5999.0,0.0,INR,2026-08-22,settled
SET9427,PAY5427,5999.0,0.0,INR,2026-08-20,settled
SET9428,PAY5428,499.0,0.0,INR,2026-08-25,settled
SET9429,PAY5429,999.0,0.0,INR,2026-08-11,settled
SET9430,PAY5430,999.0,0.0,INR,2026-08-22,settled
SET9431,PAY5431,4699.0,0.0,INR,2026-08-20,settled
SET9432,PAY5432,799.0,0.0,INR,2026-08-29,settled
SET9433,PAY5433,1299.0,0.0,INR,2026-08-08,settled
SET9434,PAY5434,799.0,0.0,INR,2026-08-19,settled
SET9435,PAY5435,3999.0,0.0,INR,2026-09-01,settled
SET9436,PAY5436,2499.0,0.0,INR,2026-08-09,settled
SET9437,PAY5437,4999.0,0.0,INR,2026-08-10,settled
SET9438,PAY5438,4999.0,0.0,INR,2026-09-01,settled
SET9439,PAY5439,4899.02,99.98,INR,2026-08-17,settled
SET9440,PAY5440,1299.0,0.0,INR,2026-08-26,settled
SET9441,PAY5441,3499.0,0.0,INR,2026-08-20,settled
