order_id,expected_status,scenario,expected_payment,expected_payment_id,expected_settlement,expected_difference
ORD1069,fee_deduction,fee_deduction,2999,PAY5069,2939.02,59.98
ORD1070,missing_payment,missing_payment,2999,,2999.0,0.0
ORD1071,exact_match,exact_match,5999,PAY5071,5999.0,0.0
ORD1072,duplicate_payment,duplicate_payment,1299,PAY5072,1299.0,0.0
ORD1073,exact_match,exact_match,3999,PAY5073,3999.0,0.0
ORD1074,customer_variation,customer_variation,2999,PAY5074,2999.0,0.0
ORD1075,amount_mismatch,amount_mismatch,9999,PAY5075,9799.0,200.0
ORD1076,amount_mismatch,amount_mismatch,5999,PAY5076,5899.0,100.0
ORD1077,exact_match,exact_match,1499,PAY5077,1499.0,0.0
ORD1078,date_variation,date_variation,3999,PAY5078,3999.0,0.0
ORD1079,exact_match,exact_match,5999,PAY5079,5999.0,0.0
ORD1080,exact_match,exact_match,5999,PAY5080,5999.0,0.0
ORD1081,exact_match,exact_match,4999,PAY5081,4999.0,0.0
ORD1082,exact_match,exact_match,1999,PAY5082,1999.0,0.0
ORD1083,missing_settlement,missing_settlement,799,PAY5083,,
ORD1084,exact_match,exact_match,1299,PAY5084,1299.0,0.0
ORD1085,fee_deduction,fee_deduction,5999,PAY5085,5879.02,119.98
ORD1086,missing_settlement,missing_settlement,1499,PAY5086,,
ORD1087,customer_variation,customer_variation,1299,PAY5087,1299.0,0.0
ORD1088,exact_match,exact_match,1299,PAY5088,1299.0,0.0
ORD1089,missing_settlement,missing_settlement,999,PAY5089,,
ORD1090,exact_match,exact_match,499,PAY5090,499.0,0.0
ORD1091,exact_match,exact_match,499,PAY5091,499.0,0.0
ORD1092,exact_match,exact_match,1299,PAY5092,1299.0,0.0
ORD1093,exact_match,exact_match,2999,PAY5093,2999.0,0.0
ORD1094,exact_match,exact_match,4999,PAY5094,4999.0,0.0
ORD1095,exact_match,exact_match,799,PAY5095,799.0,0.0
ORD1096,exact_match,exact_match,2999,PAY5096,2999.0,0.0
ORD1097,exact_match,exact_match,2499,PAY5097,2499.0,0.0
ORD1098,amount_mismatch,amount_mismatch,5999,PAY5098,5799.0,200.0
ORD1099,fee_deduction,fee_deduction,9999,PAY5099,9799.02,199.98
ORD1100,exact_match,exact_match,9999,PAY5100,9999.0,0.0
ORD1101,exact_match,exact_match,2499,PAY5101,2499.0,0.0
ORD1102,customer_variation,customer_variation,2999,PAY5102,2999.0,0.0
ORD1103,exact_match,exact_match,2499,PAY5103,2499.0,0.0
ORD1104,customer_variation,customer_variation,1299,PAY5104,1299.0,0.0
ORD1105,exact_match,exact_match,999,PAY5105,999.0,0.0
ORD1106,date_variation,date_variation,5999,PAY5106,5999.0,0.0
ORD1107,exact_match,exact_match,9999,PAY5107,9999.0,0.0
ORD1108,fee_deduction,fee_deduction,499,PAY5108,489.02,9.98
ORD1109,exact_match,exact_match,799,PAY5109,799.0,0.0
ORD1110,date_variation,date_variation,2499,PAY5110,2499.0,0.0
ORD1111,exact_match,exact_match,1299,PAY5111,1299.0,0.0
ORD1112,fee_deduction,fee_deduction,999,PAY5112,979.02,19.98
ORD1113,exact_match,exact_match,9999,PAY5113,9999.0,0.0
ORD1114,exact_match,exact_match,3999,PAY5114,3999.0,0.0
ORD1115,customer_variation,customer_variation,2999,PAY5115,2999.0,0.0
ORD1116,partial_settlement,partial_settlement,499,PAY5116,249.5,249.5
ORD1117,missing_settlement,missing_settlement,3999,PAY5117,,
ORD1118,exact_match,exact_match,1299,PAY5118,1299.0,0.0
ORD1119,exact_match,exact_match,799,PAY5119,799.0,0.0
ORD1120,exact_match,exact_match,2999,PAY5120,2999.0,0.0
ORD1121,exact_match,exact_match,999,PAY5121,999.0,0.0
ORD1122,exact_match,exact_match,2999,PAY5122,2999.0,0.0
ORD1123,partial_settlement,partial_settlement,5999,PAY5123,2999.5,2999.5
ORD1124,exact_match,exact_match,3999,PAY5124,3999.0,0.0
ORD1125,exact_match,exact_match,3999,PAY5125,3999.0,0.0
ORD1126,amount_mismatch,amount_mismatch,4999,PAY5126,4699.0,300.0
ORD1127,exact_match,exact_match,2999,PAY5127,2999.0,0.0
ORD1128,exact_match,exact_match,4999,PAY5128,4999.0,0.0
ORD1129,exact_match,exact_match,9999,PAY5129,9999.0,0.0
ORD1130,date_variation,date_variation,3999,PAY5130,3999.0,0.0
ORD1131,date_variation,date_variation,2499,PAY5131,2499.0,0.0
ORD1132,exact_match,exact_match,3999,PAY5132,3999.0,0.0
ORD1133,exact_match,exact_match,2999,PAY5133,2999.0,0.0
ORD1134,partial_settlement,partial_settlement,999,PAY5134,499.5,499.5
ORD1135,exact_match,exact_match,9999,PAY5135,9999.0,0.0
ORD1136,exact_match,exact_match,2999,PAY5136,2999.0,0.0
ORD1137,exact_match,exact_match,2999,PAY5137,2999.0,0.0
ORD1138,date_variation,date_variation,1499,PAY5138,1499.0,0.0
ORD1139,customer_variation,customer_variation,1299,PAY5139,1299.0,0.0
ORD1140,duplicate_payment,duplicate_payment,5999,PAY5140,5999.0,0.0
ORD1141,exact_match,exact_match,1499,PAY5141,1499.0,0.0
ORD1142,missing_payment,missing_payment,3999,,3999.0,0.0
ORD1143,exact_match,exact_match,2999,PAY5143,2999.0,0.0
ORD1144,exact_match,exact_match,5999,PAY5144,5999.0,0.0
ORD1145,exact_match,exact_match,1299,PAY5145,1299.0,0.0
ORD1146,exact_match,exact_match,1499,PAY5146,1499.0,0.0
ORD1147,amount_mismatch,amount_mismatch,2999,PAY5147,2899.0,100.0
ORD1148,exact_match,exact_match,9999,PAY5148,9999.0,0.0
ORD1149,exact_match,exact_match,1499,PAY5149,1499.0,0.0
ORD1150,duplicate_payment,duplicate_payment,1299,PAY5150,1299.0,0.0
ORD1151,exact_match,exact_match,1499,PAY5151,1499.0,0.0
ORD1152,exact_match,exact_match,1999,PAY5152,1999.0,0.0
ORD1153,missing_settlement,missing_settlement,1999,PAY5153,,
ORD1154,exact_match,exact_match,3999,PAY5154,3999.0,0.0
ORD1155,customer_variation,customer_variation,799,PAY5155,799.0,0.0
ORD1156,duplicate_payment,duplicate_payment,999,PAY5156,999.0,0.0
ORD1157,date_variation,date_variation,999,PAY5157,999.0,0.0
ORD1158,exact_match,exact_match,1299,PAY5158,1299.0,0.0
ORD1159,missing_payment,missing_payment,2499,,2499.0,0.0
ORD1160,exact_match,exact_match,9999,PAY5160,9999.0,0.0
ORD1161,exact_match,exact_match,999,PAY5161,999.0,0.0
ORD1162,exact_match,exact_match,9999,PAY5162,9999.0,0.0
ORD1163,exact_match,exact_match,1299,PAY5163,1299.0,0.0
ORD1164,exact_match,exact_match,799,PAY5164,799.0,0.0
ORD1165,date_variation,date_variation,2499,PAY5165,2499.0,0.0
ORD1166,date_variation,date_variation,2499,PAY5166,2499.0,0.0
ORD1167,exact_match,exact_match,1999,PAY5167,1999.0,0.0
ORD1168,exact_match,exact_match,3999,PAY5168,3999.0,0.0
ORD1169,fee_deduction,fee_deduction,2999,PAY5169,2939.02,59.98
ORD1170,fee_deduction,fee_deduction,2499,PAY5170,2449.02,49.98
ORD1171,exact_match,exact_match,499,PAY5171,499.0,0.0
ORD1172,exact_match,exact_match,1299,PAY5172,1299.0,0.0
ORD1173,amount_mismatch,amount_mismatch,2499,PAY5173,1999.0,500.0
ORD1174,exact_match,exact_match,4999,PAY5174,4999.0,0.0
ORD1175,exact_match,exact_match,9999,PAY5175,9999.0,0.0
ORD1176,exact_match,exact_match,499,PAY5176,499.0,0.0
ORD1177,exact_match,exact_match,4999,PAY5177,4999.0,0.0
ORD1178,exact_match,exact_match,2499,PAY5178,2499.0,0.0
ORD1179,fee_deduction,fee_deduction,2999,PAY5179,2939.02,59.98
ORD1180,duplicate_payment,duplicate_payment,499,PAY5180,499.0,0.0
ORD1181,exact_match,exact_match,1999,PAY5181,1999.0,0.0
ORD1182,exact_match,exact_match,1499,PAY5182,1499.0,0.0
ORD1183,exact_match,exact_match,2499,PAY5183,2499.0,0.0
ORD1184,duplicate_payment,duplicate_payment,2499,PAY5184,2499.0,0.0
ORD1185,amount_mismatch,amount_mismatch,3999,PAY5185,3799.0,200.0
ORD1186,exact_match,exact_match,2999,PAY5186,2999.0,0.0
ORD1187,exact_match,exact_match,1299,PAY5187,1299.0,0.0
ORD1188,partial_settlement,partial_settlement,1499,PAY5188,749.5,749.5
ORD1189,exact_match,exact_match,2499,PAY5189,2499.0,0.0
ORD1190,exact_match,exact_match,2999,PAY5190,2999.0,0.0
ORD1191,date_variation,date_variation,499,PAY5191,499.0,0.0
ORD1192,exact_match,exact_match,2499,PAY5192,2499.0,0.0
ORD1193,date_variation,date_variation,1999,PAY5193,1999.0,0.0
ORD1194,missing_payment,missing_payment,5999,,5999.0,0.0
ORD1195,exact_match,exact_match,5999,PAY5195,5999.0,0.0
ORD1196,exact_match,exact_match,2499,PAY5196,2499.0,0.0
ORD1197,exact_match,exact_match,9999,PAY5197,9999.0,0.0
ORD1198,exact_match,exact_match,999,PAY5198,999.0,0.0
ORD1199,exact_match,exact_match,2999,PAY5199,2999.0,0.0
ORD1200,amount_mismatch,amount_mismatch,999,PAY5200,899.0,100.0
ORD1201,exact_match,exact_match,2499,PAY5201,2499.0,0.0
ORD1202,exact_match,exact_match,4999,PAY5202,4999.0,0.0
ORD1203,fee_deduction,fee_deduction,4999,PAY5203,4899.02,99.98
ORD1204,unmatched_transaction,unmatched_transaction,5999,PAY_UNMATCHED_204,5999.0,0.0
ORD1205,exact_match,exact_match,499,PAY5205,499.0,0.0
ORD1206,unmatched_transaction,unmatched_transaction,799,PAY_UNMATCHED_206,799.0,0.0
ORD1207,exact_match,exact_match,5999,PAY5207,5999.0,0.0
ORD1208,exact_match,exact_match,2499,PAY5208,2499.0,0.0
ORD1209,exact_match,exact_match,999,PAY5209,999.0,0.0
ORD1210,exact_match,exact_match,2999,PAY5210,2999.0,0.0
ORD1211,customer_variation,customer_variation,999,PAY5211,999.0,0.0
ORD1212,fee_deduction,fee_deduction,499,PAY5212,489.02,9.98
ORD1213,missing_settlement,missing_settlement,1499,PAY5213,,
ORD1214,exact_match,exact_match,2499,PAY5214,2499.0,0.0
ORD1215,unmatched_transaction,unmatched_transaction,1999,PAY_UNMATCHED_215,1999.0,0.0
ORD1216,fee_deduction,fee_deduction,1299,PAY5216,1273.02,25.98
ORD1217,exact_match,exact_match,2999,PAY5217,2999.0,0.0
ORD1218,missing_payment,missing_payment,1999,,1999.0,0.0
ORD1219,missing_settlement,missing_settlement,1999,PAY5219,,
ORD1220,exact_match,exact_match,2499,PAY5220,2499.0,0.0
ORD1221,exact_match,exact_match,1499,PAY5221,1499.0,0.0
ORD1222,duplicate_payment,duplicate_payment,2499,PAY5222,2499.0,0.0
ORD1223,exact_match,exact_match,1499,PAY5223,1499.0,0.0
ORD1224,customer_variation,customer_variation,799,PAY5224,799.0,0.0
ORD1225,exact_match,exact_match,2999,PAY5225,2999.0,0.0
ORD1226,partial_settlement,partial_settlement,499,PAY5226,249.5,249.5
ORD1227,exact_match,exact_match,9999,PAY5227,9999.0,0.0
ORD1228,date_variation,date_variation,3999,PAY5228,3999.0,0.0
ORD1229,exact_match,exact_match,499,PAY5229,499.0,0.0
ORD1230,missing_payment,missing_payment,1999,,1999.0,0.0
ORD1231,partial_settlement,partial_settlement,1299,PAY5231,649.5,649.5
ORD1232,amount_mismatch,amount_mismatch,5999,PAY5232,5899.0,100.0
ORD1233,exact_match,exact_match,5999,PAY5233,5999.0,0.0
ORD1234,amount_mismatch,amount_mismatch,499,PAY5234,399.0,100.0
ORD1235,exact_match,exact_match,1299,PAY5235,1299.0,0.0
ORD1236,fee_deduction,fee_deduction,1299,PAY5236,1273.02,25.98
ORD1237,exact_match,exact_match,499,PAY5237,499.0,0.0
ORD1238,missing_payment,missing_payment,4999,,4999.0,0.0
ORD1239,exact_match,exact_match,999,PAY5239,999.0,0.0
ORD1240,exact_match,exact_match,1299,PAY5240,1299.0,0.0
ORD1241,amount_mismatch,amount_mismatch,999,PAY5241,499.0,500.0
ORD1242,exact_match,exact_match,5999,PAY5242,5999.0,0.0
ORD1243,exact_match,exact_match,799,PAY5243,799.0,0.0
ORD1244,exact_match,exact_match,4999,PAY5244,4999.0,0.0
ORD1245,exact_match,exact_match,1299,PAY5245,1299.0,0.0
ORD1246,exact_match,exact_match,2999,PAY5246,2999.0,0.0
ORD1247,exact_match,exact_match,9999,PAY5247,9999.0,0.0
ORD1248,partial_settlement,partial_settlement,1499,PAY5248,749.5,749.5
ORD1249,exact_match,exact_match,1999,PAY5249,1999.0,0.0
ORD1250,exact_match,exact_match,999,PAY5250,999.0,0.0
ORD1251,exact_match,exact_match,4999,PAY5251,4999.0,0.0
ORD1252,amount_mismatch,amount_mismatch,4999,PAY5252,4899.0,100.0
ORD1253,partial_settlement,partial_settlement,999,PAY5253,499.5,499.5
ORD1254,unmatched_transaction,unmatched_transaction,1499,PAY_UNMATCHED_254,1499.0,0.0
ORD1255,missing_payment,missing_payment,799,,799.0,0.0
ORD1256,exact_match,exact_match,4999,PAY5256,4999.0,0.0
ORD1257,exact_match,exact_match,499,PAY5257,499.0,0.0
ORD1258,missing_settlement,missing_settlement,1499,PAY5258,,
ORD1259,exact_match,exact_match,4999,PAY5259,4999.0,0.0
ORD1260,exact_match,exact_match,5999,PAY5260,5999.0,0.0
ORD1261,exact_match,exact_match,2499,PAY5261,2499.0,0.0
ORD1262,fee_deduction,fee_deduction,2499,PAY5262,2449.02,49.98
ORD1263,exact_match,exact_match,9999,PAY5263,9999.0,0.0
ORD1264,exact_match,exact_match,1299,PAY5264,1299.0,0.0
ORD1265,exact_match,exact_match,799,PAY5265,799.0,0.0
ORD1266,amount_mismatch,amount_mismatch,4999,PAY5266,4799.0,200.0
ORD1267,duplicate_payment,duplicate_payment,799,PAY5267,799.0,0.0
ORD1268,customer_variation,customer_variation,9999,PAY5268,9999.0,0.0
ORD1269,fee_deduction,fee_deduction,1499,PAY5269,1469.02,29.98
ORD1270,exact_match,exact_match,5999,PAY5270,5999.0,0.0
ORD1271,exact_match,exact_match,4999,PAY5271,4999.0,0.0
ORD1272,customer_variation,customer_variation,799,PAY5272,799.0,0.0
ORD1273,exact_match,exact_match,4999,PAY5273,4999.0,0.0
ORD1274,customer_variation,customer_variation,499,PAY5274,499.0,0.0
ORD1275,exact_match,exact_match,1999,PAY5275,1999.0,0.0
ORD1276,exact_match,exact_match,3999,PAY5276,3999.0,0.0
ORD1277,exact_match,exact_match,2499,PAY5277,2499.0,0.0
ORD1278,exact_match,exact_match,5999,PAY5278,5999.0,0.0
ORD1279,date_variation,date_variation,1999,PAY5279,1999.0,0.0
ORD1280,customer_variation,customer_variation,799,PAY5280,799.0,0.0
ORD1281,exact_match,exact_match,3999,PAY5281,3999.0,0.0
ORD1282,exact_match,exact_match,5999,PAY5282,5999.0,0.0
ORD1283,date_variation,date_variation,1999,PAY5283,1999.0,0.0
ORD1284,fee_deduction,fee_deduction,499,PAY5284,489.02,9.98
ORD1285,customer_variation,customer_variation,2499,PAY5285,2499.0,0.0
ORD1286,date_variation,date_variation,2999,PAY5286,2999.0,0.0
ORD1287,customer_variation,customer_variation,799,PAY5287,799.0,0.0
ORD1288,exact_match,exact_match,2499,PAY5288,2499.0,0.0
ORD1289,exact_match,exact_match,1999,PAY5289,1999.0,0.0
ORD1290,exact_match,exact_match,5999,PAY5290,5999.0,0.0
ORD1291,exact_match,exact_match,2999,PAY5291,2999.0,0.0
ORD1292,exact_match,exact_match,9999,PAY5292,9999.0,0.0
ORD1293,exact_match,exact_match,999,PAY5293,999.0,0.0
ORD1294,amount_mismatch,amount_mismatch,2499,PAY5294,2299.0,200.0
ORD1295,exact_match,exact_match,9999,PAY5295,9999.0,0.0
ORD1296,exact_match,exact_match,3999,PAY5296,3999.0,0.0
ORD1297,amount_mismatch,amount_mismatch,5999,PAY5297,5699.0,300.0
ORD1298,fee_deduction,fee_deduction,4999,PAY5298,4899.02,99.98
ORD1299,exact_match,exact_match,3999,PAY5299,3999.0,0.0
ORD1300,exact_match,exact_match,2999,PAY5300,2999.0,0.0
ORD1301,exact_match,exact_match,2999,PAY5301,2999.0,0.0
ORD1302,exact_match,exact_match,2499,PAY5302,2499.0,0.0
ORD1303,customer_variation,customer_variation,9999,PAY5303,9999.0,0.0
ORD1304,date_variation,date_variation,4999,PAY5304,4999.0,0.0
ORD1305,exact_match,exact_match,1499,PAY5305,1499.0,0.0
ORD1306,exact_match,exact_match,1999,PAY5306,1999.0,0.0
ORD1307,exact_match,exact_match,1299,PAY5307,1299.0,0.0
ORD1308,date_variation,date_variation,799,PAY5308,799.0,0.0
ORD1309,exact_match,exact_match,1499,PAY5309,1499.0,0.0
ORD1310,exact_match,exact_match,2999,PAY5310,2999.0,0.0
ORD1311,exact_match,exact_match,1299,PAY5311,1299.0,0.0
ORD1312,exact_match,exact_match,2999,PAY5312,2999.0,0.0
ORD1313,exact_match,exact_match,4999,PAY5313,4999.0,0.0
ORD1314,customer_variation,customer_variation,4999,PAY5314,4999.0,0.0
ORD1315,duplicate_payment,duplicate_payment,5999,PAY5315,5999.0,0.0
ORD1316,fee_deduction,fee_deduction,2499,PAY5316,2449.02,49.98
ORD1317,date_variation,date_variation,1999,PAY5317,1999.0,0.0
ORD1318,exact_match,exact_match,499,PAY5318,499.0,0.0
ORD1319,exact_match,exact_match,2999,PAY5319,2999.0,0.0
ORD1320,exact_match,exact_match,1999,PAY5320,1999.0,0.0
ORD1321,exact_match,exact_match,999,PAY5321,999.0,0.0
ORD1322,exact_match,exact_match,2999,PAY5322,2999.0,0.0
ORD1323,missing_settlement,missing_settlement,1299,PAY5323,,
ORD1324,exact_match,exact_match,1999,PAY5324,1999.0,0.0
ORD1325,missing_payment,missing_payment,1499,,1499.0,0.0
ORD1326,exact_match,exact_match,1999,PAY5326,1999.0,0.0
ORD1327,exact_match,exact_match,1499,PAY5327,1499.0,0.0
ORD1328,missing_settlement,missing_settlement,4999,PAY5328,,
ORD1329,unmatched_transaction,unmatched_transaction,9999,PAY_UNMATCHED_329,9999.0,0.0
ORD1330,missing_payment,missing_payment,1499,,1499.0,0.0
ORD1331,date_variation,date_variation,3999,PAY5331,3999.0,0.0
ORD1332,amount_mismatch,amount_mismatch,499,PAY5332,299.0,200.0
ORD1333,missing_settlement,missing_settlement,799,PAY5333,,
ORD1334,exact_match,exact_match,1299,PAY5334,1299.0,0.0
ORD1335,exact_match,exact_match,9999,PAY5335,9999.0,0.0
ORD1336,exact_match,exact_match,2499,PAY5336,2499.0,0.0
ORD1337,exact_match,exact_match,2999,PAY5337,2999.0,0.0
ORD1338,exact_match,exact_match,3999,PAY5338,3999.0,0.0
ORD1339,exact_match,exact_match,1299,PAY5339,1299.0,0.0
ORD1340,amount_mismatch,amount_mismatch,9999,PAY5340,9499.0,500.0
ORD1341,exact_match,exact_match,5999,PAY5341,5999.0,0.0
ORD1342,exact_match,exact_match,9999,PAY5342,9999.0,0.0
ORD1343,exact_match,exact_match,2999,PAY5343,2999.0,0.0
ORD1344,date_variation,date_variation,2999,PAY5344,2999.0,0.0
ORD1345,partial_settlement,partial_settlement,499,PAY5345,249.5,249.5
ORD1346,missing_payment,missing_payment,799,,799.0,0.0
ORD1347,missing_settlement,missing_settlement,1499,PAY5347,,
ORD1348,exact_match,exact_match,1299,PAY5348,1299.0,0.0
ORD1349,exact_match,exact_match,2499,PAY5349,2499.0,0.0
ORD1350,exact_match,exact_match,9999,PAY5350,9999.0,0.0
ORD1351,exact_match,exact_match,1299,PAY5351,1299.0,0.0
ORD1352,exact_match,exact_match,1499,PAY5352,1499.0,0.0
ORD1353,exact_match,exact_match,5999,PAY5353,5999.0,0.0
ORD1354,exact_match,exact_match,4999,PAY5354,4999.0,0.0
ORD1355,fee_deduction,fee_deduction,1999,PAY5355,1959.02,39.98
ORD1356,missing_settlement,missing_settlement,2999,PAY5356,,
ORD1357,exact_match,exact_match,3999,PAY5357,3999.0,0.0
ORD1358,exact_match,exact_match,3999,PAY5358,3999.0,0.0
ORD1359,exact_match,exact_match,1999,PAY5359,1999.0,0.0
ORD1360,exact_match,exact_match,2499,PAY5360,2499.0,0.0
ORD1361,exact_match,exact_match,9999,PAY5361,9999.0,0.0
ORD1362,exact_match,exact_match,3999,PAY5362,3999.0,0.0
ORD1363,duplicate_payment,duplicate_payment,1999,PAY5363,1999.0,0.0
ORD1364,exact_match,exact_match,1999,PAY5364,1999.0,0.0
ORD1365,unmatched_transaction,unmatched_transaction,9999,PAY_UNMATCHED_365,9999.0,0.0
ORD1366,missing_settlement,missing_settlement,2999,PAY5366,,
ORD1367,exact_match,exact_match,1499,PAY5367,1499.0,0.0
ORD1368,exact_match,exact_match,1499,PAY5368,1499.0,0.0
ORD1369,date_variation,date_variation,1499,PAY5369,1499.0,0.0
ORD1370,exact_match,exact_match,1299,PAY5370,1299.0,0.0
ORD1371,exact_match,exact_match,799,PAY5371,799.0,0.0
ORD1372,date_variation,date_variation,9999,PAY5372,9999.0,0.0
ORD1373,fee_deduction,fee_deduction,1299,PAY5373,1273.02,25.98
ORD1374,fee_deduction,fee_deduction,1999,PAY5374,1959.02,39.98
ORD1375,customer_variation,customer_variation,799,PAY5375,799.0,0.0
ORD1376,exact_match,exact_match,9999,PAY5376,9999.0,0.0
ORD1377,exact_match,exact_match,3999,PAY5377,3999.0,0.0
ORD1378,exact_match,exact_match,9999,PAY5378,9999.0,0.0
ORD1379,exact_match,exact_match,999,PAY5379,999.0,0.0
ORD1380,exact_match,exact_match,1299,PAY5380,1299.0,0.0
ORD1381,exact_match,exact_match,1299,PAY5381,1299.0,0.0
ORD1382,partial_settlement,partial_settlement,9999,PAY5382,4999.5,4999.5
ORD1383,exact_match,exact_match,2999,PAY5383,2999.0,0.0
ORD1384,exact_match,exact_match,1499,PAY5384,1499.0,0.0
ORD1385,exact_match,exact_match,9999,PAY5385,9999.0,0.0
ORD1386,customer_variation,customer_variation,4999,PAY5386,4999.0,0.0
ORD1387,duplicate_payment,duplicate_payment,3999,PAY5387,3999.0,0.0
ORD1388,exact_match,exact_match,4999,PAY5388,4999.0,0.0
ORD1389,customer_variation,customer_variation,1499,PAY5389,1499.0,0.0
ORD1390,unmatched_transaction,unmatched_transaction,799,PAY_UNMATCHED_390,799.0,0.0
ORD1391,exact_match,exact_match,1299,PAY5391,1299.0,0.0
ORD1392,duplicate_payment,duplicate_payment,1499,PAY5392,1499.0,0.0
ORD1393,exact_match,exact_match,1299,PAY5393,1299.0,0.0
ORD1394,amount_mismatch,amount_mismatch,1999,PAY5394,1799.0,200.0
ORD1395,unmatched_transaction,unmatched_transaction,1499,PAY_UNMATCHED_395,1499.0,0.0
ORD1396,missing_settlement,missing_settlement,499,PAY5396,,
ORD1397,exact_match,exact_match,9999,PAY5397,9999.0,0.0
ORD1398,exact_match,exact_match,3999,PAY5398,3999.0,0.0
ORD1399,amount_mismatch,amount_mismatch,999,PAY5399,699.0,300.0
ORD1400,date_variation,date_variation,499,PAY5400,499.0,0.0
